GWAS,Cell type,P,Significant
SCZ (2018),Astrocytes (1),0.989720266607799,FALSE
SCZ (2018),Astrocytes (2),0.535456817219464,FALSE
SCZ (2018),Cajal-Retzius cells,0.017601444443458,FALSE
SCZ (2018),Endothelial cells,0.282841437822889,FALSE
SCZ (2018),Enteric glial cells,0.903017276834992,FALSE
SCZ (2018),Enteric neurons,0.546030565328938,FALSE
SCZ (2018),Neurons (glutamatergic),4.0009353042856E-08,TRUE
SCZ (2018),Intermediate progenitors,0.085959257957138,FALSE
SCZ (2018),Interneurons (1),1.44161044541822E-08,TRUE
SCZ (2018),Interneurons (2),2.82980003855612E-05,TRUE
SCZ (2018),Microglia,0.427510812501478,FALSE
SCZ (2018),Neuroblasts (1),3.96522146364697E-06,TRUE
SCZ (2018),Neuroblasts (2),6.79386049124971E-09,TRUE
SCZ (2018),Neurons,1.21549562545914E-07,TRUE
SCZ (2018),Oligodendrocytes,2.44627133566291E-06,TRUE
SCZ (2018),Vascular endothelial cells,0.395418684931492,FALSE
MDD (2018),Astrocytes (1),0.358893639882171,FALSE
MDD (2018),Astrocytes (2),0.263300845599713,FALSE
MDD (2018),Cajal-Retzius cells,0.32477274331039,FALSE
MDD (2018),Endothelial cells,0.011760926987978,FALSE
MDD (2018),Enteric glial cells,0.148111415087218,FALSE
MDD (2018),Enteric neurons,0.03567895644612,FALSE
MDD (2018),Neurons (glutamatergic),0.023752734077375,FALSE
MDD (2018),Intermediate progenitors,0.808688192790293,FALSE
MDD (2018),Interneurons (1),0.003443524996064,FALSE
MDD (2018),Interneurons (2),0.066705247667439,FALSE
MDD (2018),Microglia,0.151444977249605,FALSE
MDD (2018),Neuroblasts (1),0.002602974539094,FALSE
MDD (2018),Neuroblasts (2),0.068965757799202,FALSE
MDD (2018),Neurons,0.000190623018318,TRUE
MDD (2018),Oligodendrocytes,0.98626945795183,FALSE
MDD (2018),Vascular endothelial cells,0.884210180394233,FALSE
Intelligence (2018),Astrocytes (1),0.103081217966675,FALSE
Intelligence (2018),Astrocytes (2),0.089180306897797,FALSE
Intelligence (2018),Cajal-Retzius cells,0.473755775137188,FALSE
Intelligence (2018),Endothelial cells,2.21258283463019E-05,TRUE
Intelligence (2018),Enteric glial cells,0.413042216713775,FALSE
Intelligence (2018),Enteric neurons,0.857547632966382,FALSE
Intelligence (2018),Neurons (glutamatergic),0.003237866320074,FALSE
Intelligence (2018),Intermediate progenitors,0.170378979431522,FALSE
Intelligence (2018),Interneurons (1),3.04921366305328E-07,TRUE
Intelligence (2018),Interneurons (2),0.244103736994327,FALSE
Intelligence (2018),Microglia,0.9328947862671,FALSE
Intelligence (2018),Neuroblasts (1),2.32500481721655E-05,TRUE
