GWAS,Cell type,P,Significant
SCZ (2018),Hypoth. neurons,1.2E-05,TRUE
SCZ (2018),Hypoth. inhib. neurons,3.15E-05,TRUE
SCZ (2018),Neuroblasts 5,4.76E-05,TRUE
SCZ (2018),Glutamatergic neurons 5,0.000241,FALSE
SCZ (2018),Neuroblasts 7,0.00129,FALSE
SCZ (2018),Neuroblasts 2,0.00317,FALSE
SCZ (2018),Neuroblasts 8,0.00724,FALSE
SCZ (2018),Oligodendrocytes 2,0.00746,FALSE
SCZ (2018),Neurons 1,0.01,FALSE
SCZ (2018),Neuroblasts 3,0.01,FALSE
SCZ (2018),Radial glia 1,0.01,FALSE
SCZ (2018),Oligodendrocytes 3,0.01,FALSE
SCZ (2018),Glutamatergic neurons 3,0.02,FALSE
SCZ (2018),Purkinje cells,0.03,FALSE
SCZ (2018),Neuroblasts 4,0.05,FALSE
SCZ (2018),Enteric glia 8,0.06,FALSE
SCZ (2018),Interneurons 1,0.06,FALSE
SCZ (2018),Vascular endothelial 2,0.08,FALSE
SCZ (2018),Interneurons 3,0.08,FALSE
SCZ (2018),Unclassified 4,0.1,FALSE
SCZ (2018),Glutamatergic neurons 4,0.1,FALSE
SCZ (2018),Glutamatergic neurons 2,0.12,FALSE
SCZ (2018),Enteric glia 2,0.12,FALSE
SCZ (2018),Interneurons 2,0.17,FALSE
SCZ (2018),Glutamatergic neurons 6,0.21,FALSE
SCZ (2018),Enteric neurons 3,0.28,FALSE
SCZ (2018),Enteric glia 6,0.29,FALSE
SCZ (2018),Glutamatergic neurons 1,0.31,FALSE
SCZ (2018),Enteric glia 5,0.35,FALSE
SCZ (2018),Enteric glia 4,0.37,FALSE
SCZ (2018),Unclassified 3,0.4,FALSE
SCZ (2018),Unclassified 5,0.45,FALSE
SCZ (2018),Intermediate progenitors 2,0.5,FALSE
SCZ (2018),Neuroblasts 6,0.51,FALSE
SCZ (2018),Cajal-Retzius cells,0.56,FALSE
SCZ (2018),Radial glia 3,0.58,FALSE
SCZ (2018),Enteric glia 7,0.64,FALSE
SCZ (2018),Oligodendrocytes 1,0.69,FALSE
SCZ (2018),Unclassified 1,0.69,FALSE
SCZ (2018),Astrocytes 2,0.71,FALSE
SCZ (2018),Astrocytes 3,0.72,FALSE
SCZ (2018),Intermediate progenitors 1,0.74,FALSE
SCZ (2018),Enteric neurons 2,0.74,FALSE
SCZ (2018),Neurons 2,0.77,FALSE
SCZ (2018),Neuroblasts 1,0.77,FALSE
SCZ (2018),Vascular endothelial 3,0.84,FALSE
SCZ (2018),Enteric glia 3,0.86,FALSE
SCZ (2018),Unclassified 2,0.95,FALSE
SCZ (2018),Astrocytes 4,0.98,FALSE
SCZ (2018),Vascular endothelial 1,0.99,FALSE
SCZ (2018),Vascular endothelial 4,0.99,FALSE
SCZ (2018),Radial glia 2,0.99,FALSE
SCZ (2018),Microglia,0.99,FALSE
SCZ (2018),Endothelial 2,0.99,FALSE
SCZ (2018),Enteric neurons 1,0.99,FALSE
SCZ (2018),Radial glia 4,1,FALSE
SCZ (2018),Enteric glia 1,1,FALSE
SCZ (2018),Endothelial 1,1,FALSE
SCZ (2018),Astrocytes 1,1,FALSE
MDD (2018),Neuroblasts 5,0.02,FALSE
MDD (2018),Glutamatergic neurons 3,0.02,FALSE
MDD (2018),Hypoth. neurons,0.02,FALSE
MDD (2018),Glutamatergic neurons 2,0.02,FALSE
MDD (2018),Glutamatergic neurons 4,0.03,FALSE
MDD (2018),Glutamatergic neurons 6,0.04,FALSE
MDD (2018),Glutamatergic neurons 1,0.05,FALSE
MDD (2018),Neuroblasts 7,0.05,FALSE
MDD (2018),Glutamatergic neurons 5,0.05,FALSE
MDD (2018),Neurons 1,0.05,FALSE
MDD (2018),Unclassified 3,0.06,FALSE
MDD (2018),Radial glia 1,0.07,FALSE
MDD (2018),Neuroblasts 6,0.09,FALSE
MDD (2018),Interneurons 3,0.1,FALSE
MDD (2018),Neuroblasts 3,0.1,FALSE
MDD (2018),Enteric neurons 1,0.13,FALSE
MDD (2018),Neuroblasts 2,0.13,FALSE
MDD (2018),Enteric neurons 3,0.16,FALSE
MDD (2018),Purkinje cells,0.18,FALSE
MDD (2018),Enteric glia 8,0.22,FALSE
MDD (2018),Neuroblasts 8,0.23,FALSE
MDD (2018),Neuroblasts 1,0.28,FALSE
MDD (2018),Radial glia 3,0.31,FALSE
MDD (2018),Hypoth. inhib. neurons,0.36,FALSE
MDD (2018),Cajal-Retzius cells,0.37,FALSE
MDD (2018),Intermediate progenitors 2,0.38,FALSE
MDD (2018),Interneurons 1,0.42,FALSE
MDD (2018),Unclassified 1,0.45,FALSE
MDD (2018),Intermediate progenitors 1,0.49,FALSE
MDD (2018),Radial glia 4,0.49,FALSE
MDD (2018),Neuroblasts 4,0.51,FALSE
MDD (2018),Neurons 2,0.51,FALSE
MDD (2018),Astrocytes 2,0.53,FALSE
MDD (2018),Unclassified 4,0.54,FALSE
MDD (2018),Radial glia 2,0.56,FALSE
MDD (2018),Vascular endothelial 3,0.57,FALSE
MDD (2018),Vascular endothelial 2,0.59,FALSE
