GWAS,Cell type,P,Significant
SCZ (2018),Glutamatergic neurons,5.4562E-17,TRUE
SCZ (2018),Neuroblasts 1,2.307E-10,TRUE
SCZ (2018),Astrocytes 1,0.51596,FALSE
SCZ (2018),Neuroblasts 2,1.7984E-13,TRUE
SCZ (2018),Intermediate progenitors,0.000155,TRUE
SCZ (2018),Enteric glial cells,0.019554,FALSE
SCZ (2018),Interneurons 1,2.1138E-16,TRUE
SCZ (2018),Neurons,5.8964E-18,TRUE
SCZ (2018),Interneurons 2,2.9575E-11,TRUE
SCZ (2018),Vascular endothelial cells,0.20635,FALSE
SCZ (2018),Enteric neurons,0.0038864,FALSE
SCZ (2018),Cajal-Retzius cells,3.2767E-09,TRUE
SCZ (2018),Oligodendrocytes,1.1861E-08,TRUE
SCZ (2018),Astrocytes 2,0.063283,FALSE
SCZ (2018),Endothelial cells,0.53022,FALSE
SCZ (2018),Microglia,0.053573,FALSE
MDD (2018),Glutamatergic neurons,0.013818,FALSE
MDD (2018),Neuroblasts 1,0.031557,FALSE
MDD (2018),Astrocytes 1,0.29045,FALSE
MDD (2018),Neuroblasts 2,0.0014757,FALSE
MDD (2018),Intermediate progenitors,0.67305,FALSE
MDD (2018),Enteric glial cells,0.71435,FALSE
MDD (2018),Interneurons 1,0.00037288,TRUE
MDD (2018),Neurons,0.0056402,FALSE
MDD (2018),Interneurons 2,0.0059195,FALSE
MDD (2018),Vascular endothelial cells,0.057611,FALSE
MDD (2018),Enteric neurons,0.78869,FALSE
MDD (2018),Cajal-Retzius cells,0.0053749,FALSE
MDD (2018),Oligodendrocytes,0.18192,FALSE
MDD (2018),Astrocytes 2,0.10938,FALSE
MDD (2018),Endothelial cells,0.46644,FALSE
MDD (2018),Microglia,0.42534,FALSE
Intelligence (2018),Glutamatergic neurons,4.5707E-15,TRUE
Intelligence (2018),Neuroblasts 1,8.5935E-15,TRUE
Intelligence (2018),Astrocytes 1,0.68987,FALSE
Intelligence (2018),Neuroblasts 2,3.0583E-12,TRUE
Intelligence (2018),Intermediate progenitors,6.9942E-05,TRUE
Intelligence (2018),Enteric glial cells,0.0007523,FALSE
Intelligence (2018),Interneurons 1,7.5762E-13,TRUE
Intelligence (2018),Neurons,4.6517E-17,TRUE
Intelligence (2018),Interneurons 2,2.78E-11,TRUE
Intelligence (2018),Vascular endothelial cells,0.97159,FALSE
Intelligence (2018),Enteric neurons,5.0992E-05,TRUE
Intelligence (2018),Cajal-Retzius cells,2.4314E-06,TRUE
Intelligence (2018),Oligodendrocytes,0.0010151,FALSE
Intelligence (2018),Astrocytes 2,0.6282,FALSE
Intelligence (2018),Endothelial cells,0.92865,FALSE
Intelligence (2018),Microglia,0.010647,FALSE
EA (2018),Glutamatergic neurons,4.563E-21,TRUE
EA (2018),Neuroblasts 1,2.618E-13,TRUE
EA (2018),Astrocytes 1,0.13704,FALSE
EA (2018),Neuroblasts 2,1.59E-14,TRUE
EA (2018),Intermediate progenitors,0.00068215,FALSE
EA (2018),Enteric glial cells,2.253E-07,TRUE
EA (2018),Interneurons 1,1.0331E-20,TRUE
EA (2018),Neurons,1.119E-19,TRUE
EA (2018),Interneurons 2,6.4756E-15,TRUE
EA (2018),Vascular endothelial cells,0.65588,FALSE
EA (2018),Enteric neurons,3.8596E-05,TRUE
EA (2018),Cajal-Retzius cells,8.3377E-07,TRUE
EA (2018),Oligodendrocytes,1.7885E-09,TRUE
EA (2018),Astrocytes 2,0.046918,FALSE
EA (2018),Endothelial cells,0.74339,FALSE
EA (2018),Microglia,0.041874,FALSE
BMI (2015),Glutamatergic neurons,3.3856E-05,TRUE
BMI (2015),Neuroblasts 1,0.00091345,FALSE
BMI (2015),Astrocytes 1,0.22473,FALSE
BMI (2015),Neuroblasts 2,0.017994,FALSE
BMI (2015),Intermediate progenitors,0.2763,FALSE
BMI (2015),Enteric glial cells,0.039813,FALSE
BMI (2015),Interneurons 1,0.00016475,TRUE
BMI (2015),Neurons,0.00099047,FALSE
BMI (2015),Interneurons 2,0.009199,FALSE
BMI (2015),Vascular endothelial cells,0.74042,FALSE
BMI (2015),Enteric neurons,0.12685,FALSE
BMI (2015),Cajal-Retzius cells,0.043512,FALSE
BMI (2015),Oligodendrocytes,0.11346,FALSE
BMI (2015),Astrocytes 2,0.27779,FALSE
BMI (2015),Endothelial cells,0.61459,FALSE
BMI (2015),Microglia,0.4448,FALSE
Breast cancer (2017),Glutamatergic neurons,0.20614,FALSE
Breast cancer (2017),Neuroblasts 1,0.0015556,FALSE
Breast cancer (2017),Astrocytes 1,0.37987,FALSE
Breast cancer (2017),Neuroblasts 2,0.84878,FALSE
Breast cancer (2017),Intermediate progenitors,0.16186,FALSE
Breast cancer (2017),Enteric glial cells,0.037283,FALSE
Breast cancer (2017),Interneurons 1,0.27823,FALSE
Breast cancer (2017),Neurons,0.25809,FALSE
Breast cancer (2017),Interneurons 2,0.0037823,FALSE
Breast cancer (2017),Vascular endothelial cells,0.00049733,TRUE
Breast cancer (2017),Enteric neurons,0.0085527,FALSE
Breast cancer (2017),Cajal-Retzius cells,0.39876,FALSE
Breast cancer (2017),Oligodendrocytes,0.047631,FALSE
Breast cancer (2017),Astrocytes 2,0.16126,FALSE
Breast cancer (2017),Endothelial cells,0.016081,FALSE
Breast cancer (2017),Microglia,0.0060721,FALSE
