Cluster,Percentage,Dataset
1,8.35600213455506,1.3 M cells
2,4.48034532629675,1.3 M cells
3,3.46245043552426,1.3 M cells
4,3.17572487208365,1.3 M cells
5,2.95936000098,1.3 M cells
6,2.77507470559907,1.3 M cells
7,2.35298711381053,1.3 M cells
8,1.92936827735741,1.3 M cells
9,1.69539409261121,1.3 M cells
10,1.68528787782505,1.3 M cells
11,1.66224264562328,1.3 M cells
12,7.92166458544996,1.3 M cells
13,1.65703641376375,1.3 M cells
14,1.4484808904494,1.3 M cells
15,1.26411903283524,1.3 M cells
16,1.21910043969691,1.3 M cells
17,1.21642076153391,1.3 M cells
18,1.17553652898991,1.3 M cells
19,1.02991516138936,1.3 M cells
20,0.942940464441819,1.3 M cells
21,0.801070646269467,1.3 M cells
22,0.785528512924088,1.3 M cells
23,6.30045929683714,1.3 M cells
24,0.761105160524206,1.3 M cells
25,0.682016373599198,1.3 M cells
26,0.653152411672066,1.3 M cells
27,0.599022912779538,1.3 M cells
28,0.524834108781152,1.3 M cells
29,0.507377919605061,1.3 M cells
30,0.455621849942617,1.3 M cells
31,0.441381274562121,1.3 M cells
32,0.433648489006046,1.3 M cells
33,0.433112553373447,1.3 M cells
34,6.13715205336081,1.3 M cells
35,0.432117244341477,1.3 M cells
36,0.326537924719419,1.3 M cells
37,0.280906833715251,1.3 M cells
38,0.259928781810651,1.3 M cells
39,0.257402228114111,1.3 M cells
40,0.249363193625122,1.3 M cells
41,0.216671120036566,1.3 M cells
42,0.198908681927561,1.3 M cells
43,0.168666599802316,1.3 M cells
44,0.132758912418165,1.3 M cells
45,5.31318929935604,1.3 M cells
46,0.126251122593745,1.3 M cells
47,0.120279268401924,1.3 M cells
48,0.113848040810733,1.3 M cells
49,0.09700434950047,1.3 M cells
50,0.08000753372375,1.3 M cells
51,0.073116932733188,1.3 M cells
52,0.069901318937592,1.3 M cells
53,0.06500133601097,1.3 M cells
54,0.048081082467478,1.3 M cells
55,0.046856086735823,1.3 M cells
56,5.060840178635,1.3 M cells
57,0.038970176713291,1.3 M cells
58,4.90541884518121,1.3 M cells
59,4.89883449312356,1.3 M cells
60,4.49420309051111,1.3 M cells
1,8.36273320838386,653 K cells
2,4.49909962882658,653 K cells
3,3.45754780542183,653 K cells
4,3.19356142736393,653 K cells
5,2.96479364962699,653 K cells
6,2.76266950865459,653 K cells
7,2.33529944997734,653 K cells
8,1.9350324011123,653 K cells
9,1.68697095537344,653 K cells
10,1.69799590851739,653 K cells
11,1.65527421508459,653 K cells
12,7.89738831109968,653 K cells
13,1.64486175933752,653 K cells
14,1.43906263398381,653 K cells
15,1.28057893253954,653 K cells
16,1.21335734323129,653 K cells
17,1.21948231720015,653 K cells
18,1.18257934903777,653 K cells
19,1.04093932600786,653 K cells
20,0.955955312189923,653 K cells
21,0.798390356840983,653 K cells
22,0.784302916712604,653 K cells
23,6.31285754535543,653 K cells
24,0.764396751313807,653 K cells
25,0.684465841020176,653 K cells
26,0.657822204255632,653 K cells
27,0.600706821996006,653 K cells
28,0.52123528475004,653 K cells
29,0.50607597417711,653 K cells
30,0.454779317187902,653 K cells
31,0.44651060232994,653 K cells
32,0.436251270932099,653 K cells
33,0.419101343819289,653 K cells
34,6.10782404174782,653 K cells
35,0.435638773535212,653 K cells
36,0.325542366444943,653 K cells
37,0.279145688630823,653 K cells
38,0.263833253708672,653 K cells
39,0.255258290152267,653 K cells
40,0.252808300564723,653 K cells
41,0.216977202846888,653 K cells
42,0.199674151384857,653 K cells
43,0.173489887667977,653 K cells
44,0.132758810775054,653 K cells
45,5.27804319331643,653 K cells
46,0.126633836806194,653 K cells
47,0.123111976774099,653 K cells
48,0.115608883662244,653 K cells
49,0.096774588707998,653 K cells
50,0.080237158992074,653 K cells
51,0.069212205848125,653 K cells
52,0.07074344934034,653 K cells
53,0.065996594514473,653 K cells
54,0.051449781338429,653 K cells
55,0.047774796957113,653 K cells
56,5.07836904193157,653 K cells
57,0.03935295774993,653 K cells
58,4.90641039775581,653 K cells
59,4.89477294721497,653 K cells
60,4.50047774796957,653 K cells
1,8.37041506013212,326 K cells
2,4.50860714602901,326 K cells
3,3.42387093415327,326 K cells
4,3.2098024383596,326 K cells
5,3.00216518492884,326 K cells
6,2.7743154555004,326 K cells
7,2.350772208458,326 K cells
8,1.92477896432498,326 K cells
9,1.68192300271643,326 K cells
10,1.67641050926252,326 K cells
11,1.65650428290116,326 K cells
12,7.89021563036894,326 K cells
13,1.65926052962812,326 K cells
14,1.44059828928953,326 K cells
15,1.27461098639945,326 K cells
16,1.22499854531423,326 K cells
17,1.21948605186031,326 K cells
18,1.17140485895673,326 K cells
19,1.01583004370182,326 K cells
20,0.968667599707225,326 K cells
21,0.816767780088261,326 K cells
22,0.78736781500072,326 K cells
23,6.27842379437174,326 K cells
24,0.762561594458107,326 K cells
25,0.688142932830267,326 K cells
26,0.666705458287268,326 K cells
27,0.593511795204743,326 K cells
28,0.508068146669076,326 K cells
29,0.499493156851876,326 K cells
30,0.449268216493993,326 K cells
31,0.442836974131093,326 K cells
32,0.445286971221722,326 K cells
33,0.417418254315823,326 K cells
34,6.08456777457577,326 K cells
35,0.431505737586937,326 K cells
36,0.319724620327013,326 K cells
37,0.286649659603529,326 K cells
38,0.275318423059373,326 K cells
39,0.259699691606616,326 K cells
40,0.254187198152702,326 K cells
41,0.21008725052139,326 K cells
42,0.209474751248733,326 K cells
43,0.175481041616263,326 K cells
44,0.136587337802536,326 K cells
45,5.27514998575939,326 K cells
46,0.118518609259152,326 K cells
47,0.128624847257994,326 K cells
48,0.113924864714223,326 K cells
49,0.096468635443495,326 K cells
50,0.077481157991125,326 K cells
51,0.069212417810254,326 K cells
52,0.071662414900882,326 K cells
53,0.071356165264554,326 K cells
54,0.051449938903198,326 K cells
55,0.049918690721555,326 K cells
56,5.07118772796457,326 K cells
57,0.039506203086384,326 K cells
58,4.94593162670619,326 K cells
59,4.90826292143778,326 K cells
60,4.46756969476099,326 K cells
1,8.34839065323247,163 K cells
2,4.47860839739075,163 K cells
3,3.43551894159802,163 K cells
4,3.23461856490981,163 K cells
5,3.03310568707316,163 K cells
6,2.72808011515022,163 K cells
7,2.34281689278167,163 K cells
8,1.95510366581937,163 K cells
9,1.74195326616237,163 K cells
10,1.67580314213089,163 K cells
11,1.64211557896671,163 K cells
12,7.89268979879337,163 K cells
13,1.67151563409181,163 K cells
14,1.40997764370808,163 K cells
15,1.26420237037944,163 K cells
16,1.21091477046519,163 K cells
17,1.16681468777754,163 K cells
18,1.15333966251187,163 K cells
19,1.01613940526138,163 K cells
20,0.942639267448626,163 K cells
21,0.81340152512786,163 K cells
22,0.809114017088782,163 K cells
23,6.28793678988148,163 K cells
24,0.764401433252687,163 K cells
25,0.702538817260282,163 K cells
26,0.652313723088231,163 K cells
27,0.594126113986464,163 K cells
28,0.502863442868955,163 K cells
29,0.463663369368818,163 K cells
30,0.429975806204637,163 K cells
31,0.455088353290662,163 K cells
32,0.44100082687655,163 K cells
33,0.42446329586868,163 K cells
34,6.150736532631,163 K cells
35,0.429975806204637,163 K cells
36,0.330138119008973,163 K cells
37,0.279913024836922,163 K cells
38,0.276238017946284,163 K cells
39,0.262762992680611,163 K cells
40,0.256637981196215,163 K cells
41,0.224175420328913,163 K cells
42,0.208250390469482,163 K cells
43,0.175175328453741,163 K cells
44,0.126787737727008,163 K cells
45,5.27730989495605,163 K cells
46,0.115150215906655,163 K cells
47,0.132912749211405,163 K cells
48,0.113312712461336,163 K cells
49,0.089425167672189,163 K cells
50,0.078400147000276,163 K cells
51,0.075337641258077,163 K cells
52,0.071662634367439,163 K cells
53,0.069825130922121,163 K cells
54,0.05390010106269,163 K cells
55,0.055125103359569,163 K cells
56,5.02985943098643,163 K cells
57,0.038587572351698,163 K cells
58,4.9906593574863,163 K cells
59,4.89020916914219,163 K cells
60,4.51229596055493,163 K cells
1,8.35323949873213,108 K cells
2,4.49726213663592,108 K cells
3,3.39384807614568,108 K cells
4,3.23398625555841,108 K cells
5,3.00797471610746,108 K cells
6,2.67171364521701,108 K cells
7,2.37036492594906,108 K cells
8,1.94406673771636,108 K cells
9,1.75113005769725,108 K cells
10,1.71254272169343,108 K cells
11,1.63536804968579,108 K cells
12,7.85527911506376,108 K cells
13,1.74469883502995,108 K cells
14,1.4084377641395,108 K cells
15,1.2788945646981,108 K cells
16,1.22652603726434,108 K cells
17,1.14016390430341,108 K cells
18,1.17875124030723,108 K cells
19,1.04461431038918,108 K cells
20,0.929771048473044,108 K cells
21,0.787365403697034,108 K cells
22,0.801146595126971,108 K cells
23,6.27871081547903,108 K cells
24,0.764396751313807,108 K cells
25,0.694572048068796,108 K cells
26,0.646797251111683,108 K cells
27,0.604534930726544,108 K cells
28,0.495204145382382,108 K cells
29,0.45661680937856,108 K cells
30,0.434566903090662,108 K cells
31,0.444673110139282,108 K cells
32,0.433648156995333,108 K cells
33,0.43640439528132,108 K cells
34,6.1353864246077,108 K cells
35,0.434566903090662,108 K cells
36,0.333504832604461,108 K cells
37,0.282973797361361,108 K cells
38,0.272867590312741,108 K cells
39,0.292161258314652,108 K cells
40,0.258167652787476,108 K cells
41,0.234280254308919,108 K cells
42,0.219580316783654,108 K cells
43,0.169049281540553,108 K cells
44,0.133218183822719,108 K cells
45,5.20285913784866,108 K cells
46,0.118518246297453,108 K cells
47,0.12219323067877,108 K cells
48,0.109330785344162,108 K cells
49,0.096468340009555,108 K cells
50,0.074418433721657,108 K cells
51,0.069824703245011,108 K cells
52,0.073499687626328,108 K cells
53,0.07074344934034,108 K cells
54,0.048693543052442,108 K cells
55,0.055124765719746,108 K cells
56,5.02737863364081,108 K cells
57,0.044099812575797,108 K cells
58,5.04391606335673,108 K cells
59,4.92907280144059,108 K cells
60,4.49083091396862,108 K cells
