GWAS,Cell type,P,Significant
SCZ (2018),Central venous LSECs,0.4944,FALSE
SCZ (2018),Cholangiocytes,0.98654,FALSE
SCZ (2018),Non-inflammatory Macrophages,0.98066,FALSE
SCZ (2018),CD3+ αβ T cells,0.82435,FALSE
SCZ (2018),Inflammatory macrophages,0.93619,FALSE
SCZ (2018),NK-like cells,0.81123,FALSE
SCZ (2018),γδ T cells 1,0.8955,FALSE
SCZ (2018),Hep 5,0.77486,FALSE
SCZ (2018),Portal endothelial cells,0.30577,FALSE
SCZ (2018),γδ T cells 2,0.15641,FALSE
SCZ (2018),Periportal LSECs,0.79512,FALSE
SCZ (2018),Hep 6,0.73047,FALSE
SCZ (2018),Mature B cells,0.70536,FALSE
SCZ (2018),Stellate cells,0.6051,FALSE
SCZ (2018),Antibody secreting B cells,0.75889,FALSE
SCZ (2018),Erthyroid cells,0.20315,FALSE
SCZ (2018),Hep 2,0.96135,FALSE
SCZ (2018),Hep 3,0.84878,FALSE
SCZ (2018),Hep 1,0.98528,FALSE
SCZ (2018),Hep 4,0.99661,FALSE
MDD (2018),Central venous LSECs,0.20485,FALSE
MDD (2018),Cholangiocytes,0.90932,FALSE
MDD (2018),Non-inflammatory Macrophages,0.62483,FALSE
MDD (2018),CD3+ αβ T cells,0.49829,FALSE
MDD (2018),Inflammatory macrophages,0.60054,FALSE
MDD (2018),NK-like cells,0.51639,FALSE
MDD (2018),γδ T cells 1,0.88826,FALSE
MDD (2018),Hep 5,0.081989,FALSE
MDD (2018),Portal endothelial cells,0.29324,FALSE
MDD (2018),γδ T cells 2,0.70927,FALSE
MDD (2018),Periportal LSECs,0.23425,FALSE
MDD (2018),Hep 6,0.87253,FALSE
MDD (2018),Mature B cells,0.88834,FALSE
MDD (2018),Stellate cells,0.62211,FALSE
MDD (2018),Antibody secreting B cells,0.92938,FALSE
MDD (2018),Erthyroid cells,0.9018,FALSE
MDD (2018),Hep 2,0.31328,FALSE
MDD (2018),Hep 3,0.48758,FALSE
MDD (2018),Hep 1,0.68127,FALSE
MDD (2018),Hep 4,0.28352,FALSE
Intelligence (2018),Central venous LSECs,0.98831,FALSE
Intelligence (2018),Cholangiocytes,0.87642,FALSE
Intelligence (2018),Non-inflammatory Macrophages,0.93113,FALSE
Intelligence (2018),CD3+ αβ T cells,0.89455,FALSE
Intelligence (2018),Inflammatory macrophages,0.53398,FALSE
Intelligence (2018),NK-like cells,0.91124,FALSE
Intelligence (2018),γδ T cells 1,0.52343,FALSE
Intelligence (2018),Hep 5,0.39726,FALSE
Intelligence (2018),Portal endothelial cells,0.9992,FALSE
Intelligence (2018),γδ T cells 2,0.35008,FALSE
Intelligence (2018),Periportal LSECs,0.98451,FALSE
Intelligence (2018),Hep 6,0.88008,FALSE
Intelligence (2018),Mature B cells,0.95965,FALSE
Intelligence (2018),Stellate cells,0.99182,FALSE
Intelligence (2018),Antibody secreting B cells,0.51992,FALSE
Intelligence (2018),Erthyroid cells,0.20595,FALSE
Intelligence (2018),Hep 2,0.77867,FALSE
Intelligence (2018),Hep 3,0.56684,FALSE
Intelligence (2018),Hep 1,0.96458,FALSE
Intelligence (2018),Hep 4,0.3696,FALSE
EA (2018),Central venous LSECs,0.21508,FALSE
EA (2018),Cholangiocytes,0.99893,FALSE
EA (2018),Non-inflammatory Macrophages,0.97154,FALSE
EA (2018),CD3+ αβ T cells,0.61394,FALSE
